project_name,gen_tech,balancing_area,full_load_heat_rate,connect_cost_per_mw,variable_o_m,forced_outage_rate,scheduled_outage_rate,capacity_limit_mw,start_year,capacity_mw,overnight_cost,fixed_o_m,project_id,being_built,fuel_code,fuel_oil,load_zone
ccc_cfe_33,combined_cycle_natural_gas,09-baja_california_sur,7.2,0,,,7.7,119.2,A_partir_de_2019,119.2,,,867,optimization,g_i_noro,natural_gas,51-la_paz
ccc_cfe_24,combined_cycle_natural_gas,01-central,6.9,0,,,7.7,585,A_partir_de_2019,585,,,868,optimization,g,natural_gas,31-central
ccc_cfe_03,combined_cycle_natural_gas,02-oriental,6.9,0,,,7.7,236.2,2016,236.2,,,869,rehabilitation_modernization,g_tuxpoz,natural_gas,32-poza_rica
ccc_cfe_06,combined_cycle_natural_gas,01-central,7.3,0,,,7.7,550,2017,550,,,870,rehabilitation_modernization,g_slorp,natural_gas,31-central
ccc_cog_01,combined_cycle_natural_gas,02-oriental,7.2,0,,,7.7,139.5,A_partir_de_2019,139.5,,,871,optimization,gn_tuxp,natural_gas,37-coatzacoalcos
ccc_gen_01,combined_cycle_natural_gas,03-occidental,6.9,0,,,7.7,850.9,2019,850.9,,,872,firm_project,g_petsal,natural_gas,23-guadalajara
ccc_gen_02,combined_cycle_natural_gas,06-noreste,6.5,0,,,7.7,970,2019,970,,,873,firm_project,g_ahnrr,natural_gas,16-monterrey
ccc_gen_03,combined_cycle_natural_gas,06-noreste,6.5,0,,,7.7,982.6,2020,982.6,,,874,firm_project,gn_tamazu,natural_gas,20-tamazunchale
ccc_otr_01,combined_cycle_natural_gas,08-baja_california,7.2,0,,,7.7,8.7,2016,8.7,,,875,firm_project,g_i_noro,natural_gas,48-mexicali
ccc_otr_02,combined_cycle_natural_gas,04-noroeste,7.2,0,,,7.7,108.5,2017,108.5,,,876,firm_project,zzon_noro,natural_gas,03-obregon
ccc_otr_03,combined_cycle_natural_gas,06-noreste,6.6,0,,,7.7,437,2018,437,,,877,firm_project,gn_tamazu,natural_gas,20-tamazunchale
ccc_otr_04,combined_cycle_natural_gas,02-oriental,6.5,0,,,7.7,970,A_partir_de_2019,970,,,878,optimization,g_2boca,natural_gas,33-veracruz
ccc_otr_05,combined_cycle_natural_gas,04-noroeste,6.5,0,,,7.7,970,A_partir_de_2019,970,,,879,optimization,zzon_noro,natural_gas,06-mazatlan
ccc_otr_06,combined_cycle_natural_gas,04-noroeste,6.5,0,,,7.7,970,A_partir_de_2019,970,,,880,optimization,zzon_noro,natural_gas,04-los_mochis
ccc_otr_07,combined_cycle_natural_gas,04-noroeste,6.5,0,,,7.7,970,A_partir_de_2019,970,,,881,optimization,zzon_noro,natural_gas,04-los_mochis
ccc_otr_08,combined_cycle_natural_gas,03-occidental,6.5,0,,,7.7,1164,A_partir_de_2019,1164,,,882,optimization,g_sauzqro,natural_gas,26-salamanca
ccc_otr_09,combined_cycle_natural_gas,06-noreste,6.9,0,,,7.7,486.5,A_partir_de_2019,486.5,,,883,optimization,g_ahnrr,natural_gas,16-monterrey
ccc_otr_10,combined_cycle_natural_gas,05-norte,6.6,0,,,7.7,437,A_partir_de_2019,437,,,884,optimization,zzon_nort,natural_gas,09-chihuahua
ccc_01,combined_cycle_natural_gas,08-baja_california,6.5,0,,,7.7,294,2016,294,,,885,firm_project,g_i_jovibn,natural_gas,47-ensenada
ccc_03,combined_cycle_natural_gas,06-noreste,6.2,0,,,7.7,857.2,2018,857.2,,,886,firm_project,g_ahnrr,natural_gas,16-monterrey
