PROJECT	proj_gen_tech	proj_load_zone	proj_variable_o_m	proj_full_load_heat_rate	proj_forced_outage_rate	proj_scheduled_outage_rate	proj_dbid	proj_capacity_limit_mw
ingenio_el_potrero	bioenergy_fuel_oil	00-autoabasto_local	3.94	47.10900474	7.1	11.44	595.0	10.0
ingenio_el_refugio	bioenergy_fuel_oil	00-autoabasto_local	3.94	23.22274882	7.1	11.44	596.0	4.0
ingenio_eldorado	bioenergy_fuel_oil	00-autoabasto_local	3.94	41.80094787	7.1	11.44	597.0	9.6
ingenio_la_margarita	bioenergy_fuel_oil	00-autoabasto_local	3.94	155.7345972	7.1	11.44	598.0	7.3
ingenio_lazaro_cardenas	bioenergy_fuel_oil	00-autoabasto_local	3.94	57.53554502	7.1	11.44	599.0	5.5
ingenio_mahuixtlan	bioenergy_fuel_oil	00-autoabasto_local	3.94	72.60663507	7.1	11.44	600.0	3.26
ingenio_melchor_ocampo	bioenergy_diesel	00-autoabasto_local	3.94	51.94312796	7.1	11.44	601.0	6.1
ingenio_nuevo_san_francisco	bioenergy_fuel_oil	00-autoabasto_local	3.94	182.9383886	7.1	11.44	602.0	6.5
ingenio_plan_de_ayala	bioenergy_fuel_oil	00-autoabasto_local	3.94	272.985782	7.1	11.44	603.0	16.0
ingenio_presidente_benito_juarez	bioenergy_fuel_oil	00-autoabasto_local	3.94	94.78672986	7.1	11.44	604.0	14.0
ingenio_queseria	bioenergy_fuel_oil	00-autoabasto_local	3.94	8.341232227	7.1	11.44	605.0	5.5
ingenio_san_francisco_ameca	bioenergy_fuel_oil	00-autoabasto_local	3.94	20.09478673	7.1	11.44	606.0	4.5
ingenio_san_jose_de_abajo	bioenergy_fuel_oil	00-autoabasto_local	3.94	37.34597156	7.1	11.44	607.0	8.0
ingenio_san_miguelito	bioenergy_fuel_oil	00-autoabasto_local	3.94	44.07582938	7.1	11.44	608.0	5.2
ingenio_san_rafael_de_pucte	bioenergy_fuel_oil	00-autoabasto_local	3.94	93.08056872	7.1	11.44	609.0	9.0
ingenio_santa_clara	bioenergy_diesel	00-autoabasto_local	3.94	49.28909953	7.1	11.44	610.0	9.1
ingenio_tala	bioenergy_fuel_oil	00-autoabasto_local	3.94	44.07582938	7.1	11.44	611.0	12.0
ingenio_tamazula	bioenergy_fuel_oil	00-autoabasto_local	3.94	114.1232227	7.1	11.44	612.0	10.47
itzicuaro	hydroelectric	28-carapan	0.0	0.0	1.0	3.0	613.0	0.624
ingenio_tres_valles	bioenergy_fuel_oil	00-autoabasto_local	3.94	9.099526066	7.1	11.44	614.0	12.0
