PROJECT	proj_gen_tech	proj_load_zone	proj_variable_o_m	proj_full_load_heat_rate	proj_forced_outage_rate	proj_scheduled_outage_rate	proj_dbid	proj_capacity_limit_mw
telefonos_de_mexico_la_paz	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	762.0	0.65
telefonos_de_mexico_lerdo_tops	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	763.0	0.6
telefonos_de_mexico_lindavista	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	764.0	1.2
telefonos_de_mexico_malinche	internal_combustion_diesel	00-autoabasto_local	6.63	19.33649289	7.4	11.23	765.0	0.75
telefonos_de_mexico_mirador	internal_combustion_diesel	00-autoabasto_local	6.63	14.69194313	7.4	11.23	766.0	0.65
telefonos_de_mexico_montejo	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	767.0	0.6
telefonos_de_mexico_paseo	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	768.0	0.6
telefonos_de_mexico_pedro_moreno	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	769.0	0.7
telefonos_de_mexico_revolucion	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	770.0	0.6
telefonos_de_mexico_romero_rubio	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	771.0	1.25
telefonos_de_mexico_tollocan	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	772.0	0.6
telefonos_de_mexico_vallarta	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	773.0	1.25
telefonos_de_mexico_popotla	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	774.0	0.75
telefonos_de_mexico_atzacoalco	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	775.0	0.73
telefonos_de_mexico_san_jeronimo	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	776.0	0.6
telefonos_de_mexico_ejercito_de_orient	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	777.0	0.6
telefonos_de_mexico_plaza_merida	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	778.0	1.25
telefonos_de_mexico_popocatepetl_i	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	779.0	1.8
telefonos_de_mexico_carrasco	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	780.0	0.9
telefonos_de_mexico_vallejo	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	781.0	2.2
telefonos_de_mexico_sadecvbosqueslago	internal_combustion_diesel	00-autoabasto_local	6.63	9.004739336	7.4	11.23	782.0	0.75
telefonos_de_mexico_centro_t_puebla	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	783.0	2.2
telefonos_de_mexico_culhuacan	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	784.0	2.4
telefonos_de_mexico_satelite	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	785.0	0.6
telefonos_de_mexico_zaragoza	internal_combustion_diesel	00-autoabasto_local	6.63	15.45023697	7.4	11.23	786.0	1.25
telefonos_del_noroeste_arbol_iii	internal_combustion_diesel	00-autoabasto_local	6.63	12.03791469	7.4	11.23	787.0	1.55
telefonos_del_noroeste_lomas	internal_combustion_diesel	00-autoabasto_local	6.63	14.5971564	7.4	11.23	788.0	0.75
telefonos_del_noroeste_principal	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	789.0	0.6
tereftalatos_mexicanos	thermal_fuel_oil	00-autoabasto_local	2.688	11.18483412	7.1	11.44	790.0	21.0
termoelectrica_de_mexicali	combined_cycle_natural_gas	00-autoabasto_local	3.05	6.44549763	7.7	6.96	791.0	679.7
ternium_mexico_planta_apm	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	792.0	4.5
ternium_mexico_planta_monter	gas_turbine_natural_gas	00-autoabasto_local	3.432	14.12322275	5.5	9.22	793.0	50.0
ternium_mexico_planta_puebla	thermal_natural_gas	00-autoabasto_local	2.688	9.099526066	7.1	11.44	794.0	5.6
tesoros_inmobiliarios	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	795.0	1.25
the_royal_cancun	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	796.0	2.0
tiendas_soriana	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	797.0	0.6
vidrio_formas	internal_combustion_diesel	00-autoabasto_local	6.63	9.004739336	7.4	11.23	798.0	2.522
vidrio_plano_de_mexico	gas_turbine_diesel	00-autoabasto_local	3.432	9.099526066	5.5	9.22	799.0	11.4
vitracoat_pinturas_en_polvo	internal_combustion_diesel	00-autoabasto_local	6.63	15.26066351	7.4	11.23	800.0	1.25
wabash_technologies_de_mexico	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	801.0	1.05
yoggo_de_mexico	internal_combustion_diesel	00-autoabasto_local	6.63	9.763033175	7.4	11.23	802.0	1.0
cbio_pp_04	bioenergy_natural_gas	42-merida	4.37	9.099526066	7.1	11.44	819.0	0.75
ccar_cfe_01	carboelectric_coal	12-rio_escondido	3.782	8.151658768	6.4	11.71	828.0	120.0
ccc_aut_05	combined_cycle_natural_gas	21-guemez	3.05	6.54028436	7.7	6.96	833.0	360.0
ccc_aut_06	combined_cycle_natural_gas	16-monterrey	3.05	6.54028436	7.7	6.96	834.0	303.0
ccc_aut_07	combined_cycle_natural_gas	16-monterrey	3.05	6.161137441	7.7	6.96	835.0	949.0
ccc_cfe_01	combined_cycle_natural_gas	02-cananea	3.05	6.91943128	7.7	6.96	842.0	405.04
ccc_cfe_12	combined_cycle_natural_gas	49-san_luis_rio_colorado	3.05	6.54028436	7.7	6.96	843.0	322.66
ccc_cfe_02	combined_cycle_natural_gas	31-central	3.05	6.54028436	7.7	6.96	844.0	660.15
ccc_cfe_04	combined_cycle_natural_gas	03-obregon	3.05	6.066350711	7.7	6.96	845.0	792.4
ccc_cfe_07	combined_cycle_natural_gas	03-obregon	3.05	5.971563981	7.7	6.96	846.0	813.96
ccc_cfe_19	combined_cycle_natural_gas	23-guadalajara	3.05	6.255924171	7.7	6.96	847.0	859.88
ccc_cfe_09	combined_cycle_natural_gas	51-la_paz	3.05	6.82464455	7.7	6.96	848.0	112.9
ccc_cfe_14	combined_cycle_natural_gas	11-laguna	3.05	6.161137441	7.7	6.96	849.0	939.1
ccc_cfe_20	combined_cycle_natural_gas	06-mazatlan	3.05	6.255924171	7.7	6.96	850.0	796.3
ccc_cfe_17	combined_cycle_natural_gas	42-merida	3.05	6.54028436	7.7	6.96	851.0	507.09
ccc_cfe_21	combined_cycle_natural_gas	26-salamanca	3.05	6.255924171	7.7	6.96	852.0	717.18
ccc_cfe_10	combined_cycle_natural_gas	25-san_luis_potosi	3.05	6.255924171	7.7	6.96	853.0	812.27
ccc_cfe_05	combined_cycle_natural_gas	31-central	3.05	5.781990521	7.7	6.96	854.0	632.95
ccc_cfe_03	combined_cycle_natural_gas	32-poza_rica	3.05	6.54028436	7.7	6.96	869.0	242.51
ccc_cfe_06	combined_cycle_natural_gas	31-central	3.05	6.91943128	7.7	6.96	870.0	564.68
ccc_gen_01	combined_cycle_natural_gas	23-guadalajara	3.05	6.54028436	7.7	6.96	872.0	874.5
ccc_gen_02	combined_cycle_natural_gas	16-monterrey	3.05	6.161137441	7.7	6.96	873.0	1000.0
ccc_gen_03	combined_cycle_natural_gas	20-tamazunchale	3.05	6.161137441	7.7	6.96	874.0	1013.0
ccc_otr_01	combined_cycle_natural_gas	48-mexicali	3.05	6.82464455	7.7	6.96	875.0	9.0
ccc_otr_02	combined_cycle_natural_gas	03-obregon	3.05	6.82464455	7.7	6.96	876.0	112.0
ccc_otr_03	combined_cycle_natural_gas	20-tamazunchale	3.05	6.255924171	7.7	6.96	877.0	450.0
ccc_01	combined_cycle_natural_gas	47-ensenada	3.05	6.161137441	7.7	6.96	885.0	301.85
ccc_03	combined_cycle_natural_gas	16-monterrey	3.05	5.876777251	7.7	6.96	886.0	883.66
ccc_06	combined_cycle_natural_gas	04-los_mochis	3.05	6.255924171	7.7	6.96	887.0	800.39
ccc_02	combined_cycle_natural_gas	07-juarez	3.05	6.066350711	7.7	6.96	888.0	931.86
ccc_04	combined_cycle_natural_gas	04-los_mochis	3.05	6.54028436	7.7	6.96	889.0	684.36
ccc_pp_01	combined_cycle_natural_gas	01-hermosillo	3.05	6.82464455	7.7	6.96	890.0	29.94
cce_cog_10	cogen_natural_gas	38-tabasco	3.08	6.54028436	7.7	6.96	892.0	261.276
cce_cog_01	cogen_natural_gas	30-queretaro	3.08	9.763033175	7.4	11.23	893.0	2.7
cce_cog_02	cogen_natural_gas	37-coatzacoalcos	3.08	6.82464455	7.7	6.96	894.0	170.0
cce_cog_03	cogen_natural_gas	37-coatzacoalcos	3.08	6.82464455	7.7	6.96	895.0	144.95
cce_cog_04	cogen_natural_gas	17-saltillo	3.08	6.82464455	7.7	6.96	896.0	60.1
cce_cog_05	cogen_natural_gas	17-saltillo	3.08	9.763033175	7.4	11.23	897.0	0.857
cce_cog_06	cogen_natural_gas	31-central	3.08	9.099526066	5.5	9.22	898.0	41.8
cce_cog_12	cogen_natural_gas	16-monterrey	3.08	6.3507109	7.7	6.96	899.0	380.0
cce_cog_13	cogen_natural_gas	36-temascal	3.08	6.54028436	7.7	6.96	900.0	515.0
cce_cog_14	cogen_natural_gas	31-central	3.08	6.54028436	7.7	6.96	901.0	638.0
cce_cog_08	cogen_natural_gas	37-coatzacoalcos	3.08	9.099526066	5.5	9.22	902.0	64.0
cce_cog_09	cogen_natural_gas	02-cananea	3.08	6.82464455	7.7	6.96	903.0	30.0
cce_gen_01	cogen_natural_gas	38-tabasco	3.08	6.54028436	7.7	6.96	948.0	680.0
cci_aut_04	internal_combustion_diesel	12-rio_escondido	6.63	7.582938389	7.4	11.23	991.0	135.0
cci_cfe_01	internal_combustion_fuel_oil	51-la_paz	6.63	7.582938389	7.4	11.23	1003.0	48.64
cci_cfe_04	internal_combustion_fuel_oil	51-la_paz	6.63	7.582938389	7.4	11.23	1004.0	43.84
cci_cfe_02	internal_combustion_fuel_oil	53-mulege	6.63	8.625592417	7.4	11.23	1005.0	11.45
cci_cfe_03	internal_combustion_fuel_oil	53-mulege	6.63	9.763033175	7.4	11.23	1006.0	8.22
cci_cfe_05	internal_combustion_fuel_oil	53-mulege	6.63	9.763033175	7.4	11.23	1007.0	14.21
cci_gen_01	internal_combustion_natural_gas	09-chihuahua	6.63	9.763033175	7.4	11.23	1008.0	8.0
cci_gen_02	internal_combustion_natural_gas	30-queretaro	6.63	9.763033175	7.4	11.23	1009.0	2.657
ce_aut_74	wind	40-ixtepec	0.0	0.0	0.0	0.0	1023.0	200.0
ce_aut_45	wind	15-matamoros	0.0	0.0	0.0	0.0	1024.0	100.0
ce_aut_34	wind	15-matamoros	0.0	0.0	0.0	0.0	1025.0	140.0
ce_aut_46	wind	15-matamoros	0.0	0.0	0.0	0.0	1026.0	60.0
ce_aut_75	wind	15-matamoros	0.0	0.0	0.0	0.0	1027.0	84.0
ce_aut_47	wind	15-matamoros	0.0	0.0	0.0	0.0	1028.0	60.0
ce_aut_04	wind	21-guemez	0.0	0.0	0.0	0.0	1029.0	50.0
ce_aut_48	wind	15-matamoros	0.0	0.0	0.0	0.0	1030.0	66.0
ce_aut_07	wind	21-guemez	0.0	0.0	0.0	0.0	1031.0	50.0
ce_aut_49	wind	21-guemez	0.0	0.0	0.0	0.0	1032.0	117.0
ce_aut_36	wind	40-ixtepec	0.0	0.0	0.0	0.0	1033.0	100.0
ce_aut_37	wind	40-ixtepec	0.0	0.0	0.0	0.0	1034.0	300.0
ce_aut_39	wind	15-matamoros	0.0	0.0	0.0	0.0	1035.0	171.0
ce_aut_61	wind	40-ixtepec	0.0	0.0	0.0	0.0	1036.0	396.0
ce_aut_25	wind	24-aguascalientes	0.0	0.0	0.0	0.0	1037.0	129.0
ce_aut_72	wind	24-aguascalientes	0.0	0.0	0.0	0.0	1038.0	71.0
ce_aut_58	wind	40-ixtepec	0.0	0.0	0.0	0.0	1039.0	200.0
ce_aut_13	wind	17-saltillo	0.0	0.0	0.0	0.0	1040.0	200.6
ce_aut_71	wind	39-grijalva	0.0	0.0	0.0	0.0	1041.0	19.965
ce_aut_17	wind	24-aguascalientes	0.0	0.0	0.0	0.0	1042.0	180.0
ce_aut_53	wind	15-matamoros	0.0	0.0	0.0	0.0	1043.0	168.0
ce_aut_54	wind	21-guemez	0.0	0.0	0.0	0.0	1044.0	73.0
ce_aut_55	wind	21-guemez	0.0	0.0	0.0	0.0	1045.0	60.0
ce_aut_40	wind	21-guemez	0.0	0.0	0.0	0.0	1046.0	57.0
ce_aut_41	wind	21-guemez	0.0	0.0	0.0	0.0	1047.0	57.0
ce_aut_56	wind	21-guemez	0.0	0.0	0.0	0.0	1048.0	145.0
ce_aut_33	wind	17-saltillo	0.0	0.0	0.0	0.0	1049.0	70.0
ce_aut_73	wind	17-saltillo	0.0	0.0	0.0	0.0	1050.0	70.0
ce_aut_44	wind	40-ixtepec	0.0	0.0	0.0	0.0	1051.0	70.0
energia_renovable_de_la_peninsula	wind	42-merida	0.0	0.0	0.0	0.0	1096.0	90.0
pe_el_cortijo	wind	14-reynosa	0.0	0.0	0.0	0.0	1097.0	168.0
ce_cfe_02	wind	40-ixtepec	0.0	0.0	0.0	0.0	1098.0	285.29
ce_cfe_03	wind	40-ixtepec	0.0	0.0	0.0	0.0	1099.0	300.3
ce_gen_02	wind	32-poza_rica	0.0	0.0	0.0	0.0	1104.0	50.4
ce_gen_01	wind	24-aguascalientes	0.0	0.0	0.0	0.0	1105.0	70.0
ce_otr_07	wind	40-ixtepec	0.0	0.0	0.0	0.0	1123.0	110.0
ce_otr_01	wind	25-san_luis_potosi	0.0	0.0	0.0	0.0	1124.0	100.0
ce_otr_08	wind	25-san_luis_potosi	0.0	0.0	0.0	0.0	1125.0	200.0
ce_otr_09	wind	40-ixtepec	0.0	0.0	0.0	0.0	1126.0	150.0
ce_otr_10	wind	51-la_paz	0.0	0.0	0.0	0.0	1127.0	50.0
ce_otr_02	wind	18-valles	0.0	0.0	0.0	0.0	1128.0	300.0
ce_otr_05	wind	18-valles	0.0	0.0	0.0	0.0	1129.0	95.7
ce_otr_06	wind	24-aguascalientes	0.0	0.0	0.0	0.0	1130.0	200.0
parque_eolico_chabacal	wind	42-merida	0.0	0.0	0.0	0.0	1131.0	30.0
parque_eolico_tizimin	wind	42-merida	0.0	0.0	0.0	0.0	1132.0	76.0
ce_pie_01	wind	36-temascal	0.0	0.0	0.0	0.0	1133.0	202.2
ce_pie_02	wind	36-temascal	0.0	0.0	0.0	0.0	1134.0	300.3
ce_pie_03	wind	36-temascal	0.0	0.0	0.0	0.0	1135.0	300.3
ce_pp_01	wind	42-merida	0.0	0.0	0.0	0.0	1136.0	30.0
ce_pp_03	wind	25-san_luis_potosi	0.0	0.0	0.0	0.0	1137.0	30.0
parque_eolico_chabacal_ii	wind	42-merida	0.0	0.0	0.0	0.0	1147.0	30.0
cg_cfe_04	geothermal	28-carapan	0.06	0.0	14.1	5.12	1151.0	26.62
cg_cfe_05	geothermal	23-guadalajara	0.06	0.0	14.1	5.12	1152.0	26.62
cg_cfe_02	geothermal	34-puebla	0.06	0.0	14.1	5.12	1153.0	26.62
cg_cfe_03	geothermal	53-mulege	0.06	0.0	14.1	5.12	1154.0	2.0
ch_aut_28	hydroelectric	32-poza_rica	0.0	0.0	1.0	3.0	1166.0	8.3
ch_aut_27	hydroelectric	22-tepic	0.0	0.0	1.0	3.0	1167.0	24.0
ch_cfe_01	hydroelectric	39-grijalva	0.0	0.0	1.0	3.0	1208.0	241.21
ch_cfe_03	hydroelectric	36-temascal	0.0	0.0	1.0	3.0	1218.0	0.0
ch_pp_09	hydroelectric	33-veracruz	0.0	0.0	1.0	3.0	1239.0	29.59
ch_pp_13	hydroelectric	32-poza_rica	0.0	0.0	1.0	3.0	1240.0	6.2
ch_pp_11	hydroelectric	23-guadalajara	0.0	0.0	1.0	3.0	1241.0	6.0
ch_pp_12	hydroelectric	23-guadalajara	0.0	0.0	1.0	3.0	1242.0	8.0
cn_cfe_01	nuclear_uranium	33-veracruz	2.25	9.763033175	11.4	10.68	1269.0	110.0
cs_aut_01	solar	31-central	0.0	0.0	0.0	0.0	1275.0	20.0
cs_aut_10	solar	08-moctezuma	0.0	0.0	0.0	0.0	1276.0	20.0
cs_aut_19	solar	08-moctezuma	0.0	0.0	0.0	0.0	1277.0	20.0
cs_cfe_02	solar	53-mulege	0.0	0.0	0.0	0.0	1342.0	4.0
cs_gen_01	solar	11-laguna	0.0	0.0	0.0	0.0	1343.0	150.0
cs_otr_01	solar	44-chetumal	0.0	0.0	0.0	0.0	1369.0	30.0
cs_otr_11	solar	16-monterrey	0.0	0.0	0.0	0.0	1370.0	125.0
cs_otr_12	solar	01-hermosillo	0.0	0.0	0.0	0.0	1371.0	125.0
cs_otr_02	solar	10-durango	0.0	0.0	0.0	0.0	1372.0	50.0
cs_otr_03	solar	17-saltillo	0.0	0.0	0.0	0.0	1373.0	100.0
cs_otr_06	solar	17-saltillo	0.0	0.0	0.0	0.0	1374.0	100.0
cs_otr_17	solar	17-saltillo	0.0	0.0	0.0	0.0	1375.0	100.0
cs_otr_04	solar	44-chetumal	0.0	0.0	0.0	0.0	1376.0	30.0
cs_otr_05	solar	21-guemez	0.0	0.0	0.0	0.0	1377.0	10.0
aguascalientes_potencia_1	solar	24-aguascalientes	0.0	0.0	0.0	0.0	1378.0	63.0
parque_solar_don_jose	solar	30-queretaro	0.0	0.0	0.0	0.0	1379.0	207.0
parque_solar_villanueva_3	solar	11-laguna	0.0	0.0	0.0	0.0	1380.0	250.0
parque_solar_villanueva	solar	11-laguna	0.0	0.0	0.0	0.0	1381.0	330.0
concunul	solar	42-merida	0.0	0.0	0.0	0.0	1382.0	70.0
las_viborilas	solar	24-aguascalientes	0.0	0.0	0.0	0.0	1383.0	100.0
san_ignacio	solar	42-merida	0.0	0.0	0.0	0.0	1384.0	18.0
kambul	solar	42-merida	0.0	0.0	0.0	0.0	1385.0	30.0
guajiro_2	solar	30-queretaro	0.0	0.0	0.0	0.0	1386.0	100.0
ticul_1	solar	42-merida	0.0	0.0	0.0	0.0	1387.0	500.0
cs_pp_05	solar	24-aguascalientes	0.0	0.0	0.0	0.0	1388.0	30.0
cs_pp_06	solar	24-aguascalientes	0.0	0.0	0.0	0.0	1389.0	30.0
cs_pp_08	solar	24-aguascalientes	0.0	0.0	0.0	0.0	1390.0	30.0
cs_pp_09	solar	24-aguascalientes	0.0	0.0	0.0	0.0	1391.0	30.0
cs_pp_10	solar	02-cananea	0.0	0.0	0.0	0.0	1392.0	20.0
cs_pp_12	solar	09-chihuahua	0.0	0.0	0.0	0.0	1393.0	29.36
cs_pp_55	solar	07-juarez	0.0	0.0	0.0	0.0	1394.0	29.36
cs_pp_01	solar	42-merida	0.0	0.0	0.0	0.0	1395.0	18.0
cs_pp_13	solar	01-hermosillo	0.0	0.0	0.0	0.0	1396.0	30.0
cs_pp_40	solar	01-hermosillo	0.0	0.0	0.0	0.0	1397.0	30.0
cs_pp_14	solar	01-hermosillo	0.0	0.0	0.0	0.0	1398.0	29.136
cs_pp_56	solar	30-queretaro	0.0	0.0	0.0	0.0	1399.0	30.0
cs_pp_41	solar	09-chihuahua	0.0	0.0	0.0	0.0	1400.0	30.0
cs_pp_42	solar	01-hermosillo	0.0	0.0	0.0	0.0	1401.0	30.0
cs_pp_43	solar	08-moctezuma	0.0	0.0	0.0	0.0	1402.0	30.0
cs_pp_16	solar	01-hermosillo	0.0	0.0	0.0	0.0	1403.0	30.0
cs_pp_44	solar	30-queretaro	0.0	0.0	0.0	0.0	1404.0	30.0
cs_pp_45	solar	30-queretaro	0.0	0.0	0.0	0.0	1405.0	30.0
cs_pp_46	solar	03-obregon	0.0	0.0	0.0	0.0	1406.0	30.0
cs_pp_17	solar	51-la_paz	0.0	0.0	0.0	0.0	1407.0	25.0
cs_pp_47	solar	23-guadalajara	0.0	0.0	0.0	0.0	1408.0	14.385
cs_pp_48	solar	23-guadalajara	0.0	0.0	0.0	0.0	1409.0	14.385
cs_pp_18	solar	51-la_paz	0.0	0.0	0.0	0.0	1410.0	5.0
cs_pp_21	solar	01-hermosillo	0.0	0.0	0.0	0.0	1411.0	26.66
cs_pp_49	solar	30-queretaro	0.0	0.0	0.0	0.0	1412.0	30.0
cs_pp_50	solar	09-chihuahua	0.0	0.0	0.0	0.0	1413.0	30.0
cs_pp_51	solar	01-hermosillo	0.0	0.0	0.0	0.0	1414.0	30.0
cs_pp_52	solar	12-rio_escondido	0.0	0.0	0.0	0.0	1415.0	29.36
cs_pp_24	solar	01-hermosillo	0.0	0.0	0.0	0.0	1416.0	30.0
cs_pp_113	solar	01-hermosillo	0.0	0.0	0.0	0.0	1417.0	30.0
cs_pp_53	solar	25-san_luis_potosi	0.0	0.0	0.0	0.0	1418.0	30.0
cs_pp_114	solar	08-moctezuma	0.0	0.0	0.0	0.0	1419.0	30.0
cs_pp_25	solar	10-durango	0.0	0.0	0.0	0.0	1420.0	10.0
cs_pp_02	solar	10-durango	0.0	0.0	0.0	0.0	1421.0	15.0
cs_pp_03	solar	10-durango	0.0	0.0	0.0	0.0	1422.0	30.0
cs_pp_26	solar	10-durango	0.0	0.0	0.0	0.0	1423.0	6.25
cs_pp_28	solar	10-durango	0.0	0.0	0.0	0.0	1424.0	6.25
cs_pp_04	solar	10-durango	0.0	0.0	0.0	0.0	1425.0	3.5
cs_pp_54	solar	09-chihuahua	0.0	0.0	0.0	0.0	1426.0	30.0
sol_de_insurgentes	solar	50-villa_constitucion	0.0	0.0	0.0	0.0	1606.0	23.0
ctc_cfe_02	thermal_fuel_oil	19-huasteca	2.688	9.763033175	7.1	11.44	1607.0	330.0
ctc_exp_01	thermal_natural_gas	16-monterrey	2.688	8.815165877	7.1	11.44	1608.0	142.65
cs_cfe_01	thermosolar	02-cananea	0.0	0.0	0.0	0.0	1609.0	14.0
ctg_aut_06	gas_turbine_natural_gas	31-central	3.432	11.18483412	5.5	9.22	1610.0	94.31
ctg_cog_07	gas_turbine_natural_gas	38-tabasco	3.432	9.099526066	5.5	9.22	1615.0	13.0
ctg_pp_01	gas_turbine_natural_gas	02-cananea	3.432	9.099526066	5.5	9.22	1617.0	30.0
ctg_pp_02	gas_turbine_natural_gas	02-cananea	3.432	9.099526066	5.5	9.22	1618.0	30.0
zuma_parque_ecologico_reynosa_1_4	wind	14-reynosa	0.0	0.0	0.0	0.0	1623.0	387.5
zuma_orejana	solar	03-obregon	0.0	0.0	0.0	0.0	1624.0	125.0
zuma_santa_maria	solar	09-chihuahua	0.0	0.0	0.0	0.0	1625.0	149.0
edf_gunaa_sicaru	wind	36-temascal	0.0	0.0	0.0	0.0	1626.0	252.0
edf_bluemex_power	solar	03-obregon	0.0	0.0	0.0	0.0	1627.0	90.0
alten_6	solar	24-aguascalientes	0.0	0.0	0.0	0.0	1628.0	140.0
alten_aguascalientes_1-5	solar	24-aguascalientes	0.0	0.0	0.0	0.0	1629.0	150.0
frv_potosi_solar	solar	25-san_luis_potosi	0.0	0.0	0.0	0.0	1630.0	300.0
cubico_el_mezquite	wind	21-guemes	0.0	0.0	0.0	0.0	1631.0	249.0
engie_tres_mesas_3	wind	14-reynosa	0.0	0.0	0.0	0.0	1632.0	49.5
engie_trompezon	solar	24-aguascalientes	0.0	0.0	0.0	0.0	1633.0	126.0
x-elio_mexsolar_1-2	solar	30-queretaro	0.0	0.0	0.0	0.0	1634.0	60.0
x-elio_xoxocotla	solar	34-puebla	0.0	0.0	0.0	0.0	1635.0	70.0
x-elio_conejo	solar	09-chihuahua	0.0	0.0	0.0	0.0	1636.0	80.0
acciona-biofields_at_solar_1-5	solar	03-obregon	0.0	0.0	0.0	0.0	1637.0	180.0
ienova_rumorosa_solar	solar	47-ensenada	0.0	0.0	0.0	0.0	1638.0	41.0
ienova_tepezala_2	solar	24-aguascalientes	0.0	0.0	0.0	0.0	1639.0	100.0
enel_salitrillos	wind	14-reynosa	0.0	0.0	0.0	0.0	1640.0	100.1
fenix_necaxa_7	hydroelectric	34-puebla	0.0	0.0	1.0	3.0	1641.0	7.0
fenix_necaxa_8	hydroelectric	34-puebla	0.0	0.0	1.0	3.0	1642.0	7.0
fenix_necaxa_6	hydroelectric	34-puebla	0.0	0.0	1.0	3.0	1643.0	7.0
fenix_patla_2	hydroelectric	34-puebla	0.0	0.0	1.0	3.0	1644.0	15.0
fenix_necaxa_1	hydroelectric	34-puebla	0.0	0.0	1.0	3.0	1645.0	16.0
fenix_necaxa_10	hydroelectric	34-puebla	0.0	0.0	1.0	3.0	1646.0	16.0
opde_aguascalientes_sur_1	solar	24-aguascalientes	0.0	0.0	0.0	0.0	1647.0	29.7
opde_andalucia_2	solar	17-saltillo	0.0	0.0	0.0	0.0	1648.0	82.5
q-cells_torreon_hq1co	solar	17-saltillo	0.0	0.0	0.0	0.0	1649.0	101.1
cfe_azufres_3	geothermal	28-carapan	0.06	0.0	14.1	5.12	1650.0	25.0
cfe_agua_prieta_2	combined_cycle_natural_gas	03-obregon	3.05	6.54028436	7.7	6.96	1651.0	394.0
grenergy_san_miguel_de_allende_5	solar	30-queretaro	0.0	0.0	0.0	0.0	1652.0	30.0
envision-vive_energia_energia_renovable_de_la_peninsula	wind	42-merida	0.0	0.0	0.0	0.0	1653.0	90.0
fisterra_planta_frontera	combined_cycle_natural_gas	12-rio_escondido	3.05	6.54028436	7.7	6.96	1654.0	505.0
