PROJECT_BUILDYEARS_1	PROJECT_BUILDYEARS_2	BuildProj
TG_Diesel_ancoa	2028	0.0
TG_Diesel_ancoa	2030	0.0
TG_Diesel_ancoa	2032	0.0
TG_Diesel_ancoa	2034	0.0
TG_Diesel_ancoa	2036	0.0
TG_Diesel_ancoa	2038	0.0
TG_Diesel_cardones	2000	126.0
TG_Diesel_cardones	2020	0.0
TG_Diesel_cardones	2022	0.0
TG_Diesel_cardones	2024	0.0
TG_Diesel_cardones	2026	0.0
TG_Diesel_cardones	2028	0.0
TG_Diesel_cardones	2030	0.0
TG_Diesel_cardones	2032	0.0
TG_Diesel_cardones	2034	0.0
TG_Diesel_cardones	2036	0.0
TG_Diesel_cardones	2038	0.0
TG_Diesel_charrua	2007	250.0
TG_Diesel_charrua	2020	0.0
TG_Diesel_charrua	2022	0.0
TG_Diesel_charrua	2024	0.0
TG_Diesel_charrua	2026	0.0
TG_Diesel_charrua	2028	0.0
TG_Diesel_charrua	2030	0.0
TG_Diesel_charrua	2032	0.0
TG_Diesel_charrua	2034	0.0
TG_Diesel_charrua	2036	0.0
TG_Diesel_charrua	2038	0.0
TG_Diesel_crucero_encuentro	1987	40.0
TG_Diesel_crucero_encuentro	2020	0.0
TG_Diesel_crucero_encuentro	2022	0.0
TG_Diesel_crucero_encuentro	2024	0.0
TG_Diesel_crucero_encuentro	2026	0.0
TG_Diesel_crucero_encuentro	2028	0.0
TG_Diesel_crucero_encuentro	2030	0.0
TG_Diesel_crucero_encuentro	2032	0.0
TG_Diesel_crucero_encuentro	2034	0.0
TG_Diesel_crucero_encuentro	2036	0.0
TG_Diesel_crucero_encuentro	2038	0.0
TG_Diesel_diego_de_almagro	2005	86.0
TG_Diesel_diego_de_almagro	2020	0.0
TG_Diesel_diego_de_almagro	2022	0.0
TG_Diesel_diego_de_almagro	2024	0.0
TG_Diesel_diego_de_almagro	2026	0.0
TG_Diesel_diego_de_almagro	2028	0.0
TG_Diesel_diego_de_almagro	2030	0.0
TG_Diesel_diego_de_almagro	2032	0.0
TG_Diesel_diego_de_almagro	2034	0.0
TG_Diesel_diego_de_almagro	2036	0.0
TG_Diesel_diego_de_almagro	2038	0.0
TG_Diesel_hualpen	2004	45.0
TG_Diesel_hualpen	2020	0.0
TG_Diesel_hualpen	2022	0.0
TG_Diesel_hualpen	2024	0.0
TG_Diesel_hualpen	2026	0.0
TG_Diesel_hualpen	2028	0.0
TG_Diesel_hualpen	2030	0.0
TG_Diesel_hualpen	2032	0.0
TG_Diesel_hualpen	2034	0.0
TG_Diesel_hualpen	2036	0.0
TG_Diesel_hualpen	2038	0.0
TG_Diesel_maitencillo	1987	29.0
TG_Diesel_maitencillo	2020	0.0
TG_Diesel_maitencillo	2022	0.0
TG_Diesel_maitencillo	2024	0.0
TG_Diesel_maitencillo	2026	0.0
TG_Diesel_maitencillo	2028	0.0
TG_Diesel_maitencillo	2030	0.0
TG_Diesel_maitencillo	2032	0.0
TG_Diesel_maitencillo	2034	0.0
TG_Diesel_maitencillo	2036	0.0
TG_Diesel_maitencillo	2038	0.0
TG_Diesel_quillota	1994	100.0
TG_Diesel_quillota	2020	0.0
TG_Diesel_quillota	2022	0.0
TG_Diesel_quillota	2024	0.0
TG_Diesel_quillota	2026	0.0
TG_Diesel_quillota	2028	0.0
TG_Diesel_quillota	2030	0.0
TG_Diesel_quillota	2032	0.0
TG_Diesel_quillota	2034	0.0
TG_Diesel_quillota	2036	0.0
TG_Diesel_quillota	2038	0.0
Wind_Cardones	2020	0.0
Wind_Cardones	2022	0.0
Wind_Cardones	2024	0.0
Wind_Cardones	2026	0.0
Wind_Cardones	2028	0.0
Wind_Cardones	2030	0.0
Wind_Cardones	2032	0.0
Wind_Cardones	2034	0.0
Wind_Cardones	2036	0.0
Wind_Cardones	2038	0.0
Wind_Polpaico	2020	0.0
Wind_Polpaico	2022	0.0
Wind_Polpaico	2024	0.0
Wind_Polpaico	2026	0.0
Wind_Polpaico	2028	0.0
Wind_Polpaico	2030	0.0
Wind_Polpaico	2032	0.0
Wind_Polpaico	2034	0.0
Wind_Polpaico	2036	0.0
Wind_Polpaico	2038	0.0
abanico	1959	114.1
abanico	2020	3.1794151952
abanico	2022	0.0
abanico	2024	0.19917398206
abanico	2026	0.0139905774215
abanico	2028	0.0
abanico	2030	1.21605950734
abanico	2032	0.0163046906858
abanico	2034	0.0399573293915
abanico	2036	0.193079032715
abanico	2038	0.0
angostura	2014	316.0
angostura	2020	0.0
angostura	2022	0.0
angostura	2024	0.0
angostura	2026	0.0
angostura	2028	0.0
angostura	2030	0.0
angostura	2032	0.0
angostura	2034	0.0
angostura	2036	0.0
angostura	2038	0.0
antuco	1981	319.2
antuco	2020	141.046632687
antuco	2022	0.0
antuco	2024	0.0
antuco	2026	0.0
antuco	2028	0.0
antuco	2030	2.35754200027
antuco	2032	1.81473316491
antuco	2034	6.47289724421
antuco	2036	5.9551842777
antuco	2038	0.0
canutillar	1990	171.6
canutillar	2020	0.0
canutillar	2022	0.0
canutillar	2024	0.0
canutillar	2026	0.0
canutillar	2028	0.0
canutillar	2030	0.0
canutillar	2032	0.0
canutillar	2034	0.0
canutillar	2036	0.0
canutillar	2038	0.0
ccgt_alto_jahuel	1997	340.0
ccgt_alto_jahuel	2020	0.0
ccgt_alto_jahuel	2022	0.0
ccgt_alto_jahuel	2024	0.0
ccgt_alto_jahuel	2026	0.494095973181
ccgt_alto_jahuel	2028	339.483157087
ccgt_alto_jahuel	2030	0.0
ccgt_alto_jahuel	2032	0.0
ccgt_alto_jahuel	2034	0.0
ccgt_alto_jahuel	2036	0.0
ccgt_alto_jahuel	2038	0.0
ccgt_crucero_encuentro	2001	400.0
ccgt_crucero_encuentro	2020	0.0
ccgt_crucero_encuentro	2022	0.0
